obs_cancelamento;data_cancelamento
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE MARÇO E ABRIL.↵REMOVIDO ONU + ROTEADOR + FONTES;31/07/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE CIDADE, REALIZADO CONTATO, OFERECIDO SUSPENSÃO DO SERVIÇO, CLIENTE NÃO DEU RETORNO AO ATENDIMENTO. ENVIADO BOLETOS PARA PAGAMENTO. INFORMADO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DO EQUIPAMENTO.;29/06/2023
Importado Cancelado do SGP;23/08/2023
CADASTRO NÃO ATIVO;27/09/2022
Cliente solicitou cancelamento informando que estaria se mudando para o sitio, informou que lá nós não atendíamos. Ciente do financeiro e que o cancelamento só será concluído com a remoção do equipamento de sua residência;10/08/2023
Importado Cancelado do SGP;23/11/2022
CADASTRO GERADO EM DUPLICIDADE.;05/04/2022
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO QUE SÓ ESTARIA DISPONIVEL PARA INSTALAÇÃO AOS SABADOS E DOMINGOS. REALIZADO CONTATO, INFORMADO AO CLIENTE QUE SOLICITANDO TERMOS NA PLATAFOR E ENVIANDO DOCUMENTAÇÃO ASSINADA, QUALQUER PESSOA PODE RECEBER EQUIPE PARA INSTALAÇÃO. O MESMO INFORMOU QUE VAI ESTÁ ENTRANDO EM CONTATO PARA SOLICITAR DOCUMENTAÇÃO NECESSARIA. CLIENTE NÃO REALIZOU CONTATO. REALIZADO CANCELAMENTO DO CONTRATO.;09/04/2022
Importado Cancelado do SGP;05/06/2023
CLIENTE DESISTIU DA ATIVAÇÃO INFORMANDO QUE VAI MORAR EM OUTRA CIDADE.;30/03/2022
Importado Cancelado do SGP;21/11/2022
Importado Cancelado do SGP;18/09/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO, REALIZADO CONTATO, OFERECIDO ATIVAÇÃO NO ENDEREÇO ATUAL SEM A TAXA DE 40,00 MAS A CLIENTE OPTOU PELO CANCELAMENTO. OPTOU POR MANTER SERVIÇO ATIVO NO DIA 12/06/2023. CIENTE QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO. CIENTE DO FINANCEIRO E QUE ATIVAÇÃO NO MESMO ENDEREÇO DENTRO DO PRAZO DE 3 MESES NÃO É COBRADO TAXA DE INSTALAÇÃO.;17/06/2023
CANCELADO POR MUDANÇA DE TITULARIDADE.;07/04/2022
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ESTADO. REALIZADO CONTATO, CLIENTE INFORMA QUE NÃO TEM PREVISÃO DE RETORNO PARA O ENDEREÇO. FOI OFERECIDO TROCA DE TITULARIDADE, MAS A MESMA OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;11/04/2023
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;19/11/2022
Importado Cancelado do SGP;27/02/2023
Importado Cancelado do SGP;14/11/2022
EQUIPAMENTO REMOVIDO.;02/08/2022
CADASTRO NÃO ATIVO.;06/04/2022
TITULARIDADE TRANSFERIDA PARA: 264571 - ANTONIO BEZERRA BATISTA;27/08/2024
CLIENTE DESISTIU DA ATIVAÇÃO.;30/03/2022
EQUIPAMENTO REMOVIDO.;22/06/2022
Importado Cancelado do SGP;05/06/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO INSATISFAÇÃO. TENTATIVAS DE CONTATO SEM SUCESSO, CLIENTE NÃO RESPONDEU AS MENSAGENS ENVIADAS NO WHATSAPP. ENVIADO BOLETOS PARA PAGAMENTO, INFORMADO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.↵↵EQUIPAMENTO REMOVIDO.;24/04/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE OUTUBRO E NOVEMBRO.↵NÃO REMOVIDO ONU + FONTE;13/03/2024
CANCELADO POR INADIMPLÊNCIA REF AOS VENCIMENTOS DE JULHO E AGOSTO E MULTA REFERENTE REPOSIÇÃO DE EQUIPAMENTO NÃO DEVOLVIDO;18/01/2024
EQUIPAMENTO REMOVIDO.;27/07/2022
Importado Cancelado do SGP;12/09/2023
CADASTRO NÃO ATIVO.;14/09/2022
Cliente solicitou cancelamento informando mudança de endereço para Paraíba. Foi proposta a transferência de titularidade, mas sem interesse por parte da cliente. ↵Ciente do financeiro e da pendência de remoção do equipamento.;10/08/2023
Importado Cancelado do SGP;22/05/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE NÃO VAI ESTÁ NO ENDEREÇO DURANTE UM PERIODO DEVIDO GESTAÇÃO, FOI OFERECIDO SUSPENSÃO TEMPORARIA, MAS A MESMA OPTOU PELO CANCELAMENTO. CIENTE DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.↵EQUIPAMENTO REMOVIDO;07/07/2023
Importado Cancelado do SGP;05/09/2023
Importado Cancelado do SGP;14/11/2023
CADASTRO NÃO ATIVO.;28/09/2022
Entramos em contato com o cliente, para entender melhor o caso, o mesmo informou que não desejava o cancelamento, apenas a mudança de endereço. Para o mesmo foi enviado o numero de do atendimento e foi a ele informado que a mudança de endereço geraria uma taxa no valor de R$40,00. Porém o cliente iria morar em Natal ( não atendemos) e o cliente não tem previsão de voltar e não tem enteresse na mudaça de titularidade. Então demos continuidade com o cancelamento conforme o solicitado.;30/08/2023
Importado Cancelado do SGP;08/09/2022
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;31/07/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE JANEIRO E FEVEREIRO.↵RECOLHIDO ONU + ROTEADOR + FONTES;06/05/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO INSATISFAÇÃO COM O SERVIÇO. REALIZADO CONTATO, OFERECIDO VISITA TECNICA, TROCA DE PLANO. TITULAR OPTOU PELO CANCELAMENTO. FICOU CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DOS EQUIPAMENTOS.↵↵↵EQUIPAMENTO REMOVIDO.;24/04/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO, REALZIADO CONTATO, CLIENTE INFORMA QUE NÃO TEM PREVISÃO DE RETORNO PARA O ENDEREÇO, OFERECIDO TROCA DE TITULARIDADE, MAS O MESMO OPTOU PELO CANCELAMENTO. FICOU CIENTE DO FINANCEIRO DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO. CANCELAMENTO JÁ REMOVIDO.;29/06/2023
EQUIPAMENTO ENTREGUE EM LOJA.;29/12/2022
Importado Cancelado do SGP;23/11/2022
CADASTRO NÃO ATIVO.;06/04/2022
CANCLAMENTO POR INADIMPLÊNCIA;11/10/2022
Importado Cancelado do SGP;19/12/2022
Importado Cancelado do SGP;21/08/2023
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;15/03/2023
Importado Cancelado do SGP;08/04/2023
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;23/11/2022
CANCELADO POR INADIMPLÊNCIA - REFERENTE AO MÊS DE JUN E JUL 2023;12/12/2023
Importado Cancelado do SGP;30/12/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE AGOSTO E SETEMBRO.↵NÃO REMOVIDO 1 CONTROLE (DANIFICADO);29/02/2024
Importado Cancelado do SGP;29/05/2023
CANCELAMENTO POR INADIMPLÊNCIA;06/08/2022
CLIENTE DESEJA CANCELAMENTO POIS IRÁ MUDAR DE ENDEREÇO, OFERTADO MUDANÇA DE ENDEREÇO E SUSPENSÃO TEMPORÁRIA PORÉM O MESMO NÃO QUIS.;09/12/2023
Importado Cancelado do SGP;24/11/2023
CADASTRO NÃO ATIVO.;28/09/2022
Importado Cancelado do SGP;13/01/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE DEZEMBRO E JANEIRO.↵EQUIPAMENTO NÂO RECOLHIDO;23/04/2024
Importado Cancelado do SGP;14/11/2023
Importado Cancelado do SGP;31/07/2023
O cliente solicitou o cancelamento devido a mudança de endereço, tentamos contatos com o cliente, porem sem sucesso, o mesmo não atende ligação e não responde o whatsapp ( ele visualiza e não responde ). infelizmente não conseguimos contato;18/08/2023
Importado Cancelado do SGP;28/02/2023
REALIZADO CANCELAMENTO DO CONTRATO, NO ENDEREÇO FUNCIONA UM PONTO COMERCIAL. CLIENTE NÃO DESEJA PLANOS IMPRESARIAL.;04/04/2022
CANCELADO POR INADIMPLÊNCIA REF AOS VENCIMENTOS DE JULHO E AGOSTO;19/01/2024
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;18/11/2022
Importado Cancelado do SGP;03/06/2023
CADASTRO CANCELADO POR INADIMPLÊNCIA COM BOLETOS DE OUTUBRO E NOVEMBRO;18/04/2024
CLEINTE DESISITIU DA ATIVAÇÃO DEVIDO FIDELIDADE DE 12 MESES DO CONTRATO. FOI OFERECIDO EM LOJA CONTRATO 6 MESES MAIS TAXA. MAS O CLIENTE OPTOU PELO CANCELAMENTO.;02/04/2022
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO. REALIZADO CONTATO, CLIENTE INFORMA MUDANÇA PARA MOSSORÓ. OFERECIDO ATIVAÇÃO NO ENDEREÇO ATUAL, MAS O MESMO OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;14/04/2023
CLIENTE DESEJA CANCELAMENTO DO CONTRATO POIS VAI MUDAR PARA UM SÍTIO, OFERTADO MUDANÇA DE TITULARIDADE, ENDEREÇO E SUSPENSÃO PORÉM A MESMA NÃO ACEITOU.;29/12/2023
O cliente solicitou o cancelamento informando que iria realizar uma viagem, entramos em contato pra tentar realizar a suspenção temporaria, porém o mesmo informou que desejava o cancelamento por questões financeiras. Ofertamos a ele um desconto nas mensalidade do mês 08 e 09. porém o mesmo informou que nao tem interesse e que desejava o cancelamento. Contato feito por ligação e whatsapp;24/08/2023
Importado Cancelado do SGP;16/10/2023
Importado Cancelado do SGP;30/08/2023
CADASTRO INDEVIDO.;04/04/2022
Importado Cancelado do SGP;18/09/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE AGOSTO E SETEMBRO.;27/02/2024
Importado Cancelado do SGP;03/06/2023
CLIENTE DESEJA CANCELAMENTO POIS MUDARÁ PARA MOSSORÓ E NÃO ATENDEMOS NO LOCAL, NÃO ACEITOU OFERTAS.;06/03/2024
Importado Cancelado do SGP;19/12/2022
CLIENTE DESISTIU DA ATIVAÇÃO.;14/12/2022
Importado Cancelado do SGP;15/05/2023
CANCELADO POR INVIABILIDADE TECNICA.;09/04/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE DEZEMBRO E JANEIRO.↵RECOLHIDO ONU + ROTEADOR + BOX + CONTROLE + FONTES;15/04/2024
CADASTRO CANCELADO POR INADIMPLÊNCIA COM BOLETOS DE OUTUBRO E NOVEMBRO EM ABERTO;17/04/2024
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE DEZEMBRO E JANEIRO.↵REMOVIDO ONI + ROTEADOR + FONTES;22/04/2024
CLIENTE DESISTIU DA ATIVAÇÃO.;13/04/2022
Importado Cancelado do SGP;22/05/2023
Importado Cancelado do SGP;26/06/2023
Importado Cancelado do SGP;23/11/2022
Cliente cancelada. Pediu desligamento informando que vai se mudar da cidade. ↵Não deu retorno às mensagens. ↵Financeiro quitado e equipamento entregue.;15/11/2023
CANCELADO CONTRATO POIS FOI TRANSFERIDA A TITULARIDADE.;01/02/2024
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS OUTUBRO E NOVEMBRO 2023;23/04/2024
Importado Cancelado do SGP;30/11/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE ESTÁ VOLTANDO PARA O SEU PAIS DE ORIGEM. SEM PREVISÃO DE RETORNO PARA O ENDEREÇO, FOI OFERECIDO TROCA DE TITULARIDADE, MAS O MESMO OPTOU PELO CANCELAMENTO, INFORMADO FINANCEIRO DO CONTRATO, PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;17/07/2023
CANCELADO POR INADIMPLÊNCIA REF AOS VENCIMENTOS DE JULHO E AGOSTO;27/01/2024
EQUIPAMENTO REMOVIDO. TERMO DE CANCELAMENTO ASSINADO.;06/12/2022
EQUIPAMENTO REMOVIDO.;10/01/2023
Importado Cancelado do SGP;23/11/2022
cliente havia solicitado cancelamento devido a mudança de endereço, em contato via WhatsApp foi ofertado a suspensão temporária e a mesma aceitou.;14/09/2023
CADASTRO NÃO ATIVO.;25/10/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE MARÇO E ABRIL.↵EQUIPAMENTO NÂO REMOVIDO.;17/07/2024
EQUIPAMENTO REMOVIDO.;05/01/2023
EQUIPAMENTO REMOVIDO.;02/08/2022
CANCELADO CONTRATO, MUDANÇA DE TITULARIDADE PARA  255089 - JOSE NONATO DE MENDONÇA;07/03/2024
CLIENTE DESEJA CANCELAMENTO POIS ESTÁ INSARISFEITA COM O SERVIÇO, NÃO ACEITOU OFERTA E NÃO ESTAVA ABERTA A NEGOCIAÇÃO(ACREDITO QUE TENHA CONTRATADO CONCORRENTE).;05/03/2024
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO SERVIÇO POIS MUDARÁ DE ENDEREÇO, INCIIALMENTE ACEITOU MUDANÇA DE ENDEREÇO PORÉM CONFIRMADO QUE NÃO ATENDEMOS, NÃO TEM NINGUÉM QUE ACEITE TITULARIDADE.;10/04/2024
EQUIPAMENTO REMOVIDO.;29/11/2022
Importado Cancelado do SGP;04/05/2023
Importado Cancelado do SGP;24/04/2023
Importado Cancelado do SGP;31/07/2023
Importado Cancelado do SGP;17/11/2022
A cliente solicitou cancelamento informando mudança de endereço para zona rural de Lajes e não tem disponibilidade de atendimento no local. Não houve contato com a cliente. Prazo de 3 meses para reativação do contrato no mesmo endereço com isenção da taxa. Equipamento já entregue no escritório de Lajes no dia 29/04/2023.;05/05/2023
EQUIPAMENTO REMOVIDO DESDE 08/03/2023;23/08/2023
Cliente solicitou cancelamento informando questões familiares. Via ligação, foi proposta a transferência de titularidade, mas sem interesse por parte parte da cliente.↵Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;19/05/2023
Importado Cancelado do SGP;31/07/2023
Cliente solicitou cancelamento via plataforma, informando que vai transferir a loja do ponto atual para sua residência, onde tem um ponto com a Telecab. Foi proposta transferência de titularidade mas sem interesse por parte da cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.↵EQUIPAMENTO REMOVIDO.;31/05/2023
Importado Cancelado do SGP;27/03/2023
TROCA DE TITULARIDADE PARA 257091 - FRANCINEIDE PEREIRA DA SILVA;29/05/2024
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO INSATISFAÇÃO. REALIZADO CONTATO, OFERECIDO VISITA TECNICA PARA REPARO DO SERVIÇO, ALTERAÇÃO NA TITULAIRADE. MAS O CLIENTE OPTOU PELO CANCELAMENTO. CIENTE DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;11/04/2022
Importado Cancelado do SGP;14/11/2023
Importado Cancelado do SGP;05/06/2023
CLIENTE NÃO RETIDA. SOLICITOU CANCELAMENTO VIA PLATAFORMA POR POIS CONTRATOU A CONCORRÊNCIA. OFERTADA E NÃO ACEITA MUDANÇA DE PACOTE. CIENTE DO FINACEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;22/07/2024
EQUIPAMENTO REMOVIDO.;21/06/2022
EQUIPAMENTO ENTREGUE. REALIZADO CANCELAMENTO DO CADASTRO.;16/05/2022
Importado Cancelado do SGP;28/08/2023
CANCELADO POR INVIABILIDADE TECNICA.;16/04/2022
Importado Cancelado do SGP;03/05/2023
EQUIPAMENTO ENTREGUE PELA SOGRA DO TITULAR EM LOJA. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;26/08/2022
CLIENTE DESISTIU DA ATIVAÇÃO.;13/04/2022
Importado Cancelado do SGP;19/11/2022
EQUIPAMENTO REMOVIDO.;17/02/2023
CANCELADO POR INVIABILIDADE TECNICA.;14/04/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS OUTUBRO E NOVEMBRO 2023;22/04/2024
Importado Cancelado do SGP;27/11/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE AGOSTO E SETEMBRO;21/02/2024
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;30/08/2022
Importado Cancelado do SGP;23/11/2022
Importado Cancelado do SGP;23/11/2022
CANCLAMENTO POR INADIMPLÊNCIA;08/11/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE SE MUDOU E NO NOVO ENDEREÇO JÁ TEM SERVIÇO ATIVO. ↵PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA D EINSTALAÇÃO. SOLICITAÇÃO DO CANCELAMENTO ABERTA NO DIA 04/03/2023, PORÉM NÃO HOUVE CONTATO COM A TITULAR.;06/05/2023
EQUIPAMENTO REMOVIDO.;20/08/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE FEVEREIRO E MARÇO.↵REMOVIDO ONU + FONTE;07/06/2024
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE MARÇO E ABRIL.↵REMOVIDO ONU + ROTEADOR + FONTES;11/07/2024
Importado Cancelado do SGP;02/02/2023
CADASTRO NÃO ATIVO.;21/12/2022
Importado Cancelado do SGP;31/08/2022
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDERE. REALIZADO CONTATO, OFERECIDO ATIVAÇÃO NO ENDEREÇO SEM TAXA, MAS O CLIENTE INFORMA QUE VAI CONTRATAR OUTRO PROVEDOR COM 200MB NO VALOR DE 49,90. OFERECIDO ATUALIZAÇÃO DE PLANO PRA 300MB MANTENDO O VALOR DE 64,90 POR DOIS MESES, MAS O MESMO OPTOU PELO CANCELAMENTO. FICOU CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE NSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DO EQUIPAMENTO.;09/03/2023
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO SERVIÇO POIS NÃO DESEJA MAIS O SERVIÇO, NÃO ACEITOU OFERTAS.;22/07/2024
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO SERVIÇO POIS NÃO PODE PAGAR, NÃO ACEITOU OFERTAS.;27/06/2024
Cliente solicitou cancelamento informando que havia contratado um plano de 600mb por 99,90 com outro provedor. Foi proposto e recusado a oferta do plano 750mb por 99,90 por 6 meses, após esse período, o valor passaria para 129,90. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.↵equipamento removido.;31/05/2023
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO MUDANÇA DE ENDEREÇO PARA ALAGOAS. NÃO QUIS PASSAR O CONTRATO PARA OUTRA PESSOA POIS NÃO CONHECE NINGUEM QUE PRECISE DE INTERNET. A CLIENTE DESEJA ENTREGAR O EQUIPAMENTO EM ESCRITÓRIO, POIS A CASA SEMPRE FICA VAZIA DEVIDO O TRABALHO. AFIRMA ENTERGAR OS EQUIPAMENTO NA SEGUNDA FEIRA.;17/08/2023
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITA CANCELAMENTO DO CONTRATO INFORMANDO QUE NO MOMENTO NÃO ESTÁ MORANDO NO ENDEREÇO, MAS VAI ESTÁ ATIVANDO DENTRO DE UM PRAZO DE 2MESES QUANDO CONSEGUIR UM LOCAL PRA MORAR. FICOU CIENTE QUE PODE SUSPENDER UMA VEZ A CADA 12 MESES, EM UM PRAZO MINIMO DE 30 DIAS E MAXIMO DE 120 DIAS, QUE A ATIVAÇÃO NO MESMO ENDEREÇO NÃO GERA TAXA DE INSTALAÇÃO, MAS SE FOR ATIVAR EM OUTRO ENDERÇO É COBRADO UMA TAXA NO VALOR DE 40,00 REAIS. CIENTE DA REMOÇÃO DO EQUIPAMENTO. INFORMADO O FINANCEIRO.;14/04/2023
Importado Cancelado do SGP;25/05/2023
Importado Cancelado do SGP;18/11/2022
EQUIPAMENTO REMOVIDO.;14/02/2023
EQUIPAMENTO REMOVIDO.;26/10/2022
CLIENTE NÃO RETIDO. SOLICITA CANCELAMENTO VIA PLATAFORMA POR MUDANÇA DE ENDEREÇO (NATAL/RN). OFERTADA E NÃO ACEITA MUDANÇA DE TITULARIDADE. CIENTE DO FINANCEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;15/05/2024
Cliente solicitou cancelamento informando mudança de endereço, foi proposta a suspensão temporária uma vez a cada 12 meses, em um prazo mínimo de 30 dias e máximo de 120 dias e a transferência da titularidade, mas sem interesse por parte do cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;19/05/2023
Importado Cancelado do SGP;31/08/2022
Importado Cancelado do SGP;29/05/2023
EQUIPAMENTOS REMOVIDOS (GERADO BOLETO REF AO CONTROLE REMOTO);22/02/2023
07/03/2024 - CLIENTE CANCELADO POR INSATISFAÇÃO COM O SERVIÇO. SOLICITOU CANCELAMENTO VIA WHATSAPP POR INSATISFAÇÃO. OFERTADA VISITA TÉCNICA E SUSPENSÃO TEMPORÁRIA. NÃO ACEITOU. CIENTE DO VALOR PROPORCIONAL AOS DIAS DE USO ATÉ A DATA DE CANCELAMENTO.;07/03/2024
CLIENTE DESISTIU DA ATIVAÇÃO.;16/04/2022
Importado Cancelado do SGP;19/05/2023
REALIZADO CANCELAMENTO DO CONTRTO POIS A TITULARIDADE FOI TRANSFERIDA.;08/01/2024
EQUIPAMENTO REMOVIDO.;11/10/2022
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO SERVIÇO POIS MUDARÁ PARA PARNAMIRIM, NÃO ACEITOU OFERTAS.;18/06/2024
CADASTRO NÃO ATIVO.;28/09/2022
CLIENTE DESISTIU DA ATIVAÇÃO.;20/05/2022
EQUIPAMENTO REMOVIDO.;13/02/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE ABRIL E MAIO.↵REMOVIDO ONU + ROTEADOR + FONTES;05/09/2024
Importado Cancelado do SGP;25/05/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE NOVEMBRO, DEZEMBRO E JANEIRO.;22/03/2024
CLIENTE SOLICITOU CANCELAMENTO DO PONTO INFORMANDO QUE A CASA É ALUGADA. CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO. EQUIPAMENTO REMOVIDO.;07/10/2022
Importado Cancelado do SGP;25/05/2023
Importado Cancelado do SGP;18/11/2022
CANCLAMENTO POR INADIMPLÊNCIA;08/11/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE MARÇO E ABRIL.↵REMOVIDO ONU + FONTE;31/07/2024
Importado Cancelado do SGP;05/06/2023
CLIENTE VIA ESCRITÓRIO SOLICITA CANCELAMENTO DO CONTRATO POIS SEUS CELULARES QUEBRARAM, OFERTADO SUSPENSÃO TEMPORÁRIA E MUDANÇA DE TITULARIDADE PORÉM A MESMA NÃO ACEITOU, CIENTE DO PROPORCIONAL.;05/01/2024
Cliente solicitou cancelamento do contrato informando mudança de endereço, já não mora mais em Jandaíra. Foi proposta a transferência de titularidade e a reativação em seu novo endereço, mas a cliente não deu retorno às mensagens;01/08/2023
CONCLUSÃO DO CANCELAMENTO;23/08/2023
Cliente solicitou cancelamento informando mudança de endereço e que no novo local já tem outro provedor. Foi proposta e recusada a transferência de titularidade. ↵Ciente do financeiro, entregará o equipamento em loja;30/08/2023
Importado Cancelado do SGP;23/10/2023
CLIENTE NÃO SOLICITOU PONTO.;01/09/2022
O cliente solicitou cancelamento devido a mudança de endereço. Foi oferecido a transferência de titularidade e atualização de seu plano atual para 69,90 mensais, assim como foi oferecido suspensão do serviço por, no mínimo 30 dias e no máximo 120 dias, mas o cliente não demonstrou interesse em nenhumas das propostas. O cliente está ciente de que o serviço pode ser reativado em até 3 meses, sem cobrança de taxa no mesmo endereço e que o cancelamento só será concluído após a devida remoção dos equipamentos de sua residência.↵↵equipamento removido.;03/05/2023
Importado Cancelado do SGP;11/10/2023
CANCELAMENTO POR INADIMPLÊNCIA;29/07/2022
EQUIPAMENTO REMOVIDO.;09/11/2022
Importado Cancelado do SGP;14/11/2022
Importado Cancelado do SGP;12/06/2023
CANCELAMENTO POR INADIMPLÊNCIA;05/08/2022
Importado Cancelado do SGP;31/07/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO, REALIZADO CONTATO, OFERECIDO ATIVAÇÃO NO ENDEREÇO ATUAL, TROCA DE TITULARIDADE, MAS A MESMA OPTOU PELO CANCELAMENTO. ENVIADO BOLETOS PARA PAGAMENTO.INFOMRADO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;10/08/2023
CLIENTE DESISTIU DA ATIVAÇÃO.;20/04/2022
